"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22415-81606","PG","Jacob","Jacob Wiley","Wiley","3.866666793823242","6","3500","WAS@BKN","BKN","WAS","","","",""
"22415-14539","PF","Jon","Jon Leuer","Leuer","11.612500190734863","8","3500","DEN@DET","DET","DEN","O","Ankle","",""
"22415-14543","PF","Davis","Davis Bertans","Bertans","7.895652439283288","23","3500","SA@DAL","SA","DAL","","","",""
"22415-58584","PG","Gian","Gian Clavell","Clavell","5.271428789411273","7","3500","SA@DAL","DAL","SA","","","",""
"22415-58081","PG","Tyus","Tyus Jones","Jones","13.062963415075231","27","3500","PHI@MIN","MIN","PHI","","","",""
"22415-9448","SG","Jamal","Jamal Crawford","Crawford","14.277777777777779","27","3500","PHI@MIN","MIN","PHI","","","",""
"22415-23788","SG","Bryn","Bryn Forbes","Forbes","10.14444421838831","27","3500","SA@DAL","SA","DAL","","","",""
"22415-9968","SG","Jodie","Jodie Meeks","Meeks","10.319230299729567","26","3500","WAS@BKN","WAS","BKN","","","",""
"22415-67312","C","Thomas","Thomas Bryant","Bryant","0","0","3500","LAL@NY","LAL","NY","","","",""
"22415-23801","SG","Nik","Nik Stauskas","Stauskas","2.449999968210856","6","3500","WAS@BKN","BKN","WAS","GTD","Coach's decision","",""
"22415-9479","SF","Luol","Luol Deng","Deng","5.5","1","3500","LAL@NY","LAL","NY","","","",""
"22415-9483","C","Joakim","Joakim Noah","Noah","10.25","2","3500","LAL@NY","NY","LAL","","","",""
"22415-23825","C","Nerlens","Nerlens Noel","Noel","11.866667005750868","18","3500","SA@DAL","DAL","SA","O","Thumb","",""
"22415-40209","C","Joffrey","Joffrey Lauvergne","Lauvergne","9.453846271221455","13","3500","SA@DAL","SA","DAL","","","",""
"22415-58134","SF","Justin","Justin Jackson","Jackson","9.422222561306423","18","3500","PHO@SAC","SAC","PHO","","","",""
"22415-71467","PG","Malcolm","Malcolm Delaney","Delaney","11.594737002724095","19","3500","ATL@CLE","ATL","CLE","","","",""
"22415-71469","SF","Nicolas","Nicolas Brussino","Brussino","0.8999999761581421","4","3500","ATL@CLE","ATL","CLE","","","",""
"22415-20277","SF","Torrey","Torrey Craig","Craig","1.2000000476837158","1","3500","DEN@DET","DEN","DET","","","",""
"22415-41275","PF","Mike","Mike Young","Young","0","0","3500","WAS@BKN","WAS","BKN","","","",""
"22415-16188","SF","Anthony","Anthony Brown","Brown","9.690908952192826","11","3500","PHI@MIN","MIN","PHI","","","",""
"22415-82237","PG","Jacob","Jacob Pullen","Pullen","0","2","3500","PHI@MIN","PHI","MIN","","","",""
"22415-9534","PG","Aaron","Aaron Brooks","Brooks","3.55","10","3500","PHI@MIN","MIN","PHI","","","",""
"22415-11074","SG","Garrett","Garrett Temple","Temple","16.28","25","3500","PHO@SAC","SAC","PHO","","","",""
"22415-20805","SG","Troy","Troy Daniels","Daniels","8.710714067731585","28","3500","PHO@SAC","PHO","SAC","","","",""
"22415-40267","PG","London","London Perrantes","Perrantes","0","0","3500","ATL@CLE","CLE","ATL","","","",""
"22415-17230","PG","Langston","Langston Galloway","Galloway","10.079166412353516","24","3500","DEN@DET","DET","DEN","","","",""
"22415-63826","C","Boban","Boban Marjanovic","Marjanovic","7.985714503696987","7","3500","DEN@DET","DET","DEN","","","",""
"22415-9580","PF","Darrell","Darrell Arthur","Arthur","2.7000001271565757","3","3500","DEN@DET","DEN","DET","","","",""
"22415-9587","PF","Michael","Michael Beasley","Beasley","13.075","20","3500","LAL@NY","NY","LAL","","","",""
"22415-15736","C","Jeff","Jeff Withey","Withey","3.8499999046325684","8","3500","SA@DAL","DAL","SA","","","",""
"22415-66424","C","Justin","Justin Patton","Patton","0","0","3500","PHI@MIN","MIN","PHI","","","",""
"22415-9601","C","Andrew","Andrew Bogut","Bogut","7.946666463216146","15","3500","LAL@NY","LAL","NY","","","",""
"22415-9605","PG","Ramon","Ramon Sessions","Sessions","11.330000305175782","10","3500","LAL@NY","NY","LAL","","","",""
"22415-9606","SF","Corey","Corey Brewer","Brewer","7.5279998779296875","25","3500","LAL@NY","LAL","NY","","","",""
"22415-66455","PF","Henry","Henry Ellenson","Ellenson","8.455555386013454","9","3500","DEN@DET","DET","DEN","","","",""
"22415-23981","SG","Alex","Alex Caruso","Caruso","4.199999809265137","2","3500","LAL@NY","LAL","NY","","","",""
"22415-74163","PG","Josh","Josh Magette","Magette","6.212500095367432","8","3500","ATL@CLE","ATL","CLE","","","",""
"22415-80819","PF","Harry","Harry Giles","Giles","0","0","3500","PHO@SAC","SAC","PHO","O","Knee","",""
"22415-9654","SF","Vince","Vince Carter","Carter","7.800000359030331","17","3500","PHO@SAC","SAC","PHO","","","",""
"22415-15798","SG","Vander","Vander Blue","Blue","0.23333332935969034","3","3500","LAL@NY","LAL","NY","","","",""
"22415-48570","PF","Isaiah","Isaiah Hicks","Hicks","0","0","3500","LAL@NY","NY","LAL","","","",""
"22415-9669","PF","Jason","Jason Smith","Smith","6.144444359673394","9","3500","WAS@BKN","WAS","BKN","GTD","Knee","",""
"22415-40396","PG","Monte","Monte Morris","Morris","0","0","3500","DEN@DET","DEN","DET","","","",""
"22415-9677","PF","Jared","Jared Dudley","Dudley","12.266666412353516","12","3500","PHO@SAC","PHO","SAC","","","",""
"22415-16859","SF","Lance","Lance Thomas","Thomas","8.208695784859035","23","3500","LAL@NY","NY","LAL","","","",""
"22415-16348","SG","Darrun","Darrun Hilliard","Hilliard","3.9000000953674316","4","3500","SA@DAL","SA","DAL","","","",""
"22415-24543","PF","Matt","Matt Costello","Costello","14","1","3500","SA@DAL","SA","DAL","","","",""
"22415-67556","PG","Tyler","Tyler Dorsey","Dorsey","3.637500047683716","8","3500","ATL@CLE","ATL","CLE","","","",""
"22415-17894","C","Mike","Mike Muscala","Muscala","16.5","9","3500","ATL@CLE","ATL","CLE","O","Ankle","",""
"22415-9706","SF","Richard","Richard Jefferson","Jefferson","3.137500047683716","8","3500","DEN@DET","DEN","DET","","","",""
